"MEMBER_NO";"FFP_DATE";"FIRST_FLIGHT_DATE";"GENDER";"FFP_TIER";"WORK_CITY";"WORK_PROVINCE";"WORK_COUNTRY";"AGE";"LOAD_TIME";"FLIGHT_COUNT";"BP_SUM";"SUM_YR_1";"SUM_YR_2";"SEG_KM_SUM";"LAST_FLIGHT_DATE";"LAST_TO_END";"AVG_INTERVAL";"MAX_INTERVAL";"EXCHANGE_COUNT";"avg_discount";"Points_Sum";"Point_NotFlight"
288;"2011-08-29";"2011-09-22";"Male";5;"Guangzhou";"Guangdong";"CN";30.0;"2014-03-31";56;45005;18676.0;29477.0;75409;"2014-03-19";13;12.94545;60;1;0.68455;48601;5
290;"2011-09-14";"2011-10-15";"Male";4;"Shenzhen";"Guangdong";"CN";31.0;"2014-03-31";37;33723;10574.0;26506.0;54890;"2014-03-01";32;18.16667;88;0;0.73489;35402;3
295;"2011-09-07";"2011-09-07";"Female";4;"Beijing";"Beijing";"CN";29.0;"2014-03-31";29;29552;23002.0;9565.0;51702;"2014-03-31";1;25.25;114;2;0.70073;43134;41
310;"2011-11-08";"2011-11-25";"Male";6;"Guangzhou";"Guangdong";"CN";48.0;"2014-03-31";78;67686;27721.0;41318.0;100891;"2014-03-30";2;9.20779;51;0;0.73495;94980;28
311;"2011-11-21";"2011-12-12";"Female";4;"Guangzhou";"Guangdong";"CN";28.0;"2014-03-31";56;30495;21339.0;18696.0;63130;"2014-02-12";49;12.34545;104;2;0.65543;37223;31
351;"2012-03-06";"2012-03-09";"Female";4;"Guangzhou";"Guangdong";"CN";30.0;"2014-03-31";25;22254;13326.0;12444.0;47765;"2014-01-17";75;26.79167;137;0;0.62551;25471;15
377;"2012-05-22";"2012-06-07";"Male";5;"Guangzhou";"Guangdong";"CN";29.0;"2014-03-31";48;37085;10456.0;30319.0;56173;"2014-03-14";18;13.74468;99;2;0.76703;44868;33
394;"2012-07-10";"2012-07-31";"Male";4;"Guangzhou";"Guangdong";"CN";34.0;"2014-03-31";36;29368;12381.0;18136.0;44743;"2014-03-02";30;16.57143;104;0;0.73698;36881;19
397;"2012-07-10";"2012-08-29";"Male";5;"Guangzhou";"Guangdong";"CN";47.0;"2014-03-31";45;22931;7136.0;23817.0;49458;"2014-03-25";7;13.04545;87;0;0.63446;33952;21
424;"2012-09-11";"2013-07-26";"Male";4;"";"Beijing";"CN";35.0;"2014-03-31";16;26756;0.0;24468.0;37642;"2014-03-06";26;14.93333;36;0;0.76093;28220;6
500;"2013-03-12";"2013-04-01";"Male";5;"Beijing";"Beijing";"CN";41.0;"2014-03-31";65;46618;0.0;47063.0;75026;"2014-03-30";2;5.6875;20;2;0.69095;61944;18
531;"2005-12-01";"2007-07-15";"Male";4;"Guangzhou";"Guangdong";"CN";36.0;"2014-03-31";40;30572;17799.0;16434.0;49383;"2014-02-25";36;17.71795;70;2;0.74516;41288;25
535;"2005-12-03";"2005-12-11";"Male";4;"Hong Kong";"Hong kong";"HK";64.0;"2014-03-31";26;39740;6781.0;8964.0;35705;"2013-12-08";115;22.56;103;4;1.27126;40628;5
536;"2005-12-04";"2005-12-28";"Male";5;"Shantou";"Guangdong";"CN";55.0;"2014-03-31";53;34937;22846.0;22563.0;64410;"2014-03-24";8;13.44231;62;2;0.69091;36940;2
537;"2005-12-04";"2009-05-31";"Male";4;"Beijing";"Beijing";"CN";53.0;"2014-03-31";34;27167;19241.0;11400.0;52394;"2014-03-24";8;21.51515;91;3;0.63917;27167;3
542;"2005-12-14";"2006-03-02";"Male";5;"Guangzhou";"Guangdong";"CN";45.0;"2014-03-31";22;35856;13365.0;23871.0;25907;"2014-03-30";2;31.14286;117;2;1.44837;36744;3
547;"2005-12-01";"2006-05-16";"Male";5;"Shenzhen";"Guangdong";"CN";39.0;"2014-03-31";30;38171;8314.0;26714.0;50831;"2014-03-27";5;24.68966;340;0;0.76998;38171;0
550;"2005-12-17";"2005-12-19";"Female";5;"Guangzhou";"Guangdong";"CN";36.0;"2014-03-31";41;36242;16986.0;21362.0;60106;"2014-03-19";13;17.5;91;0;0.72128;37515;1
557;"2005-12-25";"2006-01-24";"Male";6;"Guangzhou";"Guangdong";"CN";40.0;"2014-03-31";101;78310;42660.0;41369.0;119673;"2014-03-30";2;7.29;55;3;0.74283;101850;39
571;"2006-01-15";"2009-04-09";"Male";5;"Nanhai";"Guangdong";"CN";41.0;"2014-03-31";26;29680;3322.0;24832.0;47098;"2014-03-23";9;23.08;163;1;0.69291;29680;1
572;"2006-01-11";"2006-10-08";"Male";4;"Shenzhen";"Guangdong";"CN";40.0;"2014-03-31";28;31925;12961.0;17286.0;50156;"2014-01-01";91;23.25926;74;0;0.70723;53111;5
573;"2006-01-15";"2006-01-17";"Male";5;"Shenzhen";"Guangdong";"CN";48.0;"2014-03-31";46;51531;19798.0;21368.0;81221;"2014-03-28";4;16.11111;71;1;0.77904;65025;14
576;"2006-01-16";"2007-07-30";"Male";4;"Shenzhen";"Guangdong";"CN";37.0;"2014-03-31";34;45674;14148.0;24996.0;59162;"2014-03-28";4;21.48485;80;1;0.78114;45674;2
579;"2006-01-25";"2006-01-26";"Male";5;"Foshan";"Guangdong";"CN";39.0;"2014-03-31";68;33971;21914.0;22551.0;78258;"2014-03-26";6;10.61194;82;2;0.58806;35033;3
580;"2006-01-31";"2006-03-25";"Female";5;"Guangzhou";"Guangdong";"CN";40.0;"2014-03-31";75;56679;35012.0;28838.0;94837;"2014-01-18";74;8.63514;76;10;0.73856;85123;44
584;"2006-02-03";"2006-02-25";"Male";6;"Guangzhou";"Guangdong";"CN";53.0;"2014-03-31";23;44129;19613.0;27277.0;35884;"2014-01-29";63;27.77273;93;0;1.24468;46408;1
585;"2005-08-02";"2006-03-16";"Male";4;"Guangzhou";"Guangzhou";"CN";35.0;"2014-03-31";11;24776;19440.0;0.0;35883;"2013-03-24";374;35.6;261;0;0.80873;25715;10
593;"2006-02-23";"2006-03-20";"Male";4;"Guangzhou";"Guangdong";"CN";43.0;"2014-03-31";39;39543;29382.0;13968.0;67848;"2013-12-20";103;16.23684;70;2;0.69641;51940;30
595;"2006-02-25";"2006-11-04";"Male";5;"Beijing";"Beijing";"CN";41.0;"2014-03-31";26;27339;14309.0;14858.0;27880;"2014-03-31";1;28.88;142;3;1.11105;27502;3
607;"2006-03-11";"2008-06-08";"Male";4;"Guilin";"Guangxi";"CN";41.0;"2014-03-31";21;41845;21954.0;9291.0;60773;"2014-02-27";34;30.1;113;0;0.68885;41845;0
616;"2006-03-16";"2006-04-04";"Female";4;"Zhuhai";"Guangdong";"CN";40.0;"2014-03-31";33;22193;13101.0;15717.0;58081;"2014-03-10";22;21.84375;83;0;0.58702;22193;0
624;"2006-04-03";"2006-06-20";"Male";6;"Guangzhou";"Guangdong";"CN";40.0;"2014-03-31";81;45697;22516.0;36304.0;82484;"2014-03-28";4;9.05;63;4;0.72204;57779;28
635;"2006-04-13";"2006-04-13";"Male";5;"Beijing";"Beijing";"CN";61.0;"2014-03-31";54;57789;23937.0;34081.0;67130;"2014-03-29";3;13.60377;97;2;0.90663;61087;2
653;"2006-04-25";"2006-04-25";"Male";4;"Shenzhen";"Guangdong";"CN";36.0;"2014-03-31";45;51739;30561.0;15758.0;74402;"2014-03-20";12;16.15909;66;6;0.76229;57790;19
664;"2006-04-27";"2006-05-01";"Male";5;"Guangzhou";"Guangdong";"CN";48.0;"2014-03-31";25;38381;6683.0;30619.0;37879;"2014-03-29";3;30.25;236;0;1.07004;39648;0
666;"2006-04-25";"2006-08-25";"Male";4;"Shenzhen";"Guangdong";"CN";45.0;"2014-03-31";30;26930;12392.0;14769.0;48199;"2014-03-23";9;23.62069;89;1;0.68735;26930;1
676;"2006-05-19";"2006-08-13";"Female";4;"Shenzhen";"Guangdong";"CN";49.0;"2014-03-31";15;71824;17437.0;20084.0;65979;"2014-01-27";65;39.64286;150;0;0.97229;71824;0
680;"2006-05-24";"2006-06-22";"Male";5;"Guangzhou";"Guangdong";"CN";45.0;"2014-03-31";50;51216;18136.0;31863.0;70542;"2014-03-30";2;14.7551;128;5;0.76574;62952;25
686;"2006-05-23";"2006-06-12";"Male";6;"Guangzhou";"Guangdong";"CN";41.0;"2014-03-31";78;66455;27240.0;45578.0;113329;"2014-03-02";30;9.0;114;3;0.68498;85692;37
687;"2006-05-25";"2006-05-25";"Male";4;"Zhuhai";"Guangdong";"CN";40.0;"2014-03-31";35;33989;16610.0;13976.0;68660;"2014-02-17";44;20.17647;83;0;0.63524;80002;34
691;"2006-04-29";"2006-04-29";"Male";4;"Guangzhou";"Guangdong";"CN";46.0;"2014-03-31";19;31379;19825.0;11001.0;35879;"2013-12-13";110;33.11111;146;0;0.87635;31379;0
693;"2006-05-25";"2006-05-25";"Male";6;"Zhuhai";"Guangdong";"CN";46.0;"2014-03-31";52;71462;49222.0;21714.0;98327;"2014-03-31";1;14.21569;103;7;0.80759;87080;37
694;"2006-05-29";"2006-08-15";"Male";4;"Beijing";"Beijing";"CN";36.0;"2014-03-31";32;29650;11865.0;15485.0;42342;"2014-01-23";69;21.06452;74;0;0.7476;29650;0
697;"2006-05-22";"2007-03-25";"Male";4;"Summervillr";"S.c";"US";53.0;"2014-03-31";4;32568;6400.0;7650.0;48928;"2013-08-28";217;137.33333;364;3;0.7925;32568;3
703;"2006-05-21";"2006-05-21";"Male";5;"Guangzhou";"Guangdong";"CN";46.0;"2014-03-31";49;66149;42870.0;19719.0;74209;"2014-01-11";81;13.45833;63;1;0.92946;74820;10
705;"2006-05-27";"2006-05-29";"Male";5;"Guangzhou";"Guangdong";"CN";36.0;"2014-03-31";42;30206;16115.0;17837.0;53398;"2014-03-04";28;17.09756;140;0;0.6514;34557;24
707;"2006-05-30";"2007-08-05";"Male";6;"Changsha";"Hunan";"CN";47.0;"2014-03-31";65;80126;23639.0;45091.0;92722;"2014-03-27";5;11.3125;67;2;0.88315;87710;3
708;"2006-06-07";"2011-10-20";"Male";6;"Shenzhen";"Guangdong";"CN";37.0;"2014-03-31";53;55646;34827.0;15069.0;86686;"2014-03-27";5;13.59615;79;0;0.74159;55646;2
722;"2006-06-16";"2006-07-31";"Male";4;"Guangzhou";"Guangdong";"CN";42.0;"2014-03-31";45;55225;25337.0;37880.0;78758;"2014-03-27";5;15.97727;96;5;0.77087;59035;7
728;"2006-01-10";"2006-01-10";"Male";6;"Luoyang";"Henan";"CN";51.0;"2014-03-31";97;99324;44371.0;55847.0;116461;"2014-03-28";4;7.57292;28;4;0.93837;114037;6
730;"2006-06-13";"2006-06-13";"Female";4;"Shunde";"Guangdong";"CN";36.0;"2014-03-31";63;46894;23083.0;22960.0;77086;"2014-03-30";2;10.96774;60;1;0.70311;49704;2
735;"2006-06-27";"2006-06-27";"Male";4;"Guangzhou";"Guangdong";"CN";44.0;"2014-03-31";35;33310;18712.0;15321.0;58902;"2014-03-01";32;19.44118;66;1;0.66561;33310;2
737;"2006-06-25";"2006-06-25";"Male";5;"Guangzhou";"Guangdong";"CN";48.0;"2014-03-31";24;44833;27555.0;10562.0;42252;"2014-03-28";4;30.86957;156;0;1.08678;44833;0
739;"2006-06-18";"2006-06-18";"Male";4;"Guangzhou";"Guangdong";"CN";42.0;"2014-03-31";12;31864;6044.0;26439.0;31251;"2013-10-19";165;38.54545;147;0;0.96819;31864;0
743;"2006-07-01";"2006-08-06";"Male";5;"Guangzhou";"Guangdong";"CN";45.0;"2014-03-31";76;52363;35329.0;29137.0;80079;"2014-03-10";22;9.32;49;4;0.73518;61015;16
744;"2006-07-03";"2006-07-04";"Male";5;"Guangzhou";"Guangdong";"CN";35.0;"2014-03-31";69;52844;31294.0;28809.0;89629;"2014-03-21";11;10.45588;59;0;0.69915;57703;2
746;"2006-07-04";"2006-07-04";"Male";4;"Guangzhou";"Guangdong";"CN";44.0;"2014-03-31";35;23665;18883.0;11873.0;44575;"2014-03-28";4;21.23529;76;0;0.64897;32644;18
750;"2006-07-14";"2007-02-04";"Male";5;"Zhanjiang";"Guangdong";"CN";55.0;"2014-03-31";67;42357;21035.0;29877.0;52947;"2014-03-28";4;10.54545;64;0;0.80039;46536;2
755;"2006-07-17";"2006-11-04";"Male";5;"Guangzhou";"Guangdong";"CN";47.0;"2014-03-31";70;60479;33777.0;33138.0;117261;"2014-03-17";15;10.37681;56;1;0.63518;81265;34
759;"2006-07-10";"2006-07-10";"Male";5;"Guangzhou";"Guangdong";"CN";42.0;"2014-03-31";44;33456;3970.0;32660.0;58366;"2014-03-30";2;11.06977;65;0;0.68349;37214;0
775;"2006-07-10";"2006-07-10";"Male";4;"Shenzhen";"Guangdong";"CN";46.0;"2014-03-31";23;28115;7647.0;20557.0;41744;"2013-12-07";116;25.63636;122;0;0.75653;28115;0
779;"2006-07-30";"2006-07-30";"Male";4;"Guangzhou";"Guangdong";"CN";39.0;"2014-03-31";22;43712;18235.0;15653.0;58297;"2014-01-05";87;25.57143;115;3;0.7432;46300;7
781;"2006-07-23";"2006-07-23";"Male";5;"Zhanjiang";"Guangdong";"CN";49.0;"2014-03-31";109;133352;55657.0;76163.0;144321;"2014-03-24";8;6.66667;52;11;0.91449;164372;16
794;"2006-08-09";"2007-11-02";"Male";4;"Foshan";"Guangdong";"CN";57.0;"2014-03-31";36;22181;22236.0;5141.0;51356;"2014-03-17";15;20.11429;77;0;0.55853;22181;0
795;"2006-07-04";"2006-07-04";"Male";5;"Zhengzhou";"Henan";"CN";45.0;"2014-03-31";40;26144;11696.0;20188.0;43418;"2014-03-31";1;18.4359;96;0;0.75337;28644;1
799;"2006-01-05";"2006-01-05";"Male";5;"Zhanjiang";"Guangdong";"CN";52.0;"2014-03-31";70;56340;23663.0;35482.0;63555;"2014-03-13";19;9.57971;71;0;0.83716;62550;3
802;"2006-07-22";"2006-07-22";"Female";4;"Shanghai";"Jiangsu";"CN";38.0;"2014-03-31";31;27284;21867.0;6498.0;39883;"2014-02-28";33;23.2;137;4;0.76749;32152;26
808;"2006-08-17";"2006-08-17";"Male";5;"Guangzhou";"Guangdong";"CN";36.0;"2014-03-31";30;38435;22278.0;13604.0;38939;"2014-03-15";17;24.41379;91;2;0.97719;38435;2
812;"2006-08-08";"2006-08-08";"Male";5;"Guangzhou";"Guangdong";"CN";48.0;"2014-03-31";59;57776;40853.0;28146.0;104352;"2014-03-31";1;12.37931;80;0;0.7217;64258;14
815;"2006-08-09";"2006-08-09";"Male";4;"Guangzhou";"Guangdong";"CN";47.0;"2014-03-31";32;28873;20917.0;11634.0;56842;"2013-07-30";246;15.48387;70;0;0.73488;30873;1
834;"2006-09-20";"2013-02-16";"Male";6;"Guangzhou";"Guangdong";"CN";47.0;"2014-03-31";18;39229;5105.0;30308.0;28144;"2014-03-13";19;23.0;79;2;1.36224;41038;2
836;"2006-09-25";"2006-09-25";"Male";6;"Changsha";"Hunan";"CN";62.0;"2014-03-31";18;28336;26545.0;680.0;21188;"2013-04-30";337;22.35294;102;0;1.43406;28336;0
842;"2006-09-01";"2007-02-11";"Male";5;"Guangzhou";"Guangdong";"CN";41.0;"2014-03-31";31;39351;12942.0;21294.0;51368;"2014-03-02";30;22.03333;126;0;0.80629;48556;4
850;"2006-09-21";"2006-10-16";"Female";4;"Guangzhou";"Guangdong";"CN";31.0;"2014-03-31";9;51385;13648.0;7600.0;57245;"2013-08-01";244;49.625;108;0;0.83673;51385;0
857;"2006-10-01";"2006-11-21";"Male";6;"Foshan";"Guangdong";"CN";45.0;"2014-03-31";60;93504;37442.0;40801.0;154736;"2014-03-27";5;12.22034;60;3;0.68984;125963;36
863;"2006-10-04";"2007-02-12";"Male";4;"Guangzhou";"Guangdong";"CN";32.0;"2014-03-31";41;23190;12379.0;13945.0;43239;"2014-01-18";74;16.35;55;2;0.68145;23410;3
864;"2006-10-24";"2007-01-07";"Male";5;"Fanyu";"Guangdong";"CN";44.0;"2014-03-31";24;30430;11830.0;15337.0;43544;"2013-12-20";103;22.52174;115;0;0.72304;31429;1
865;"2006-09-30";"2006-12-15";"Female";4;"Guangzhou";"Guangdong";"CN";47.0;"2014-03-31";32;30610;12087.0;19305.0;69125;"2014-03-27";5;22.6129;93;2;0.60261;31694;5
876;"2006-08-14";"2006-08-14";"Male";6;"";"Beijing";"CN";41.0;"2014-03-31";83;149093;45490.0;79527.0;149993;"2014-03-26";6;8.82927;46;0;0.96077;165704;4
882;"2006-10-22";"2009-06-15";"Female";6;"";"Beijing";"CN";39.0;"2014-03-31";29;40968;29012.0;9919.0;50660;"2014-02-26";35;22.82143;230;1;0.91757;40968;1
887;"2006-09-18";"2006-09-18";"Male";4;"Beijing";"Beijing";"CN";72.0;"2014-03-31";33;38991;18300.0;17304.0;53614;"2014-03-01";32;21.28125;88;4;0.76467;38991;4
891;"2006-10-20";"2006-11-29";"Male";5;"Zhuhai";"Guangdong";"CN";42.0;"2014-03-31";62;57068;21766.0;29712.0;103017;"2014-03-23";9;11.83607;54;7;0.6953;70004;19
894;"2006-10-21";"2007-03-01";"Female";4;"Guangzhou";"Guangdong";"CN";54.0;"2014-03-31";14;33351;12620.0;17311.0;24649;"2014-01-19";73;37.46154;243;1;1.36752;33351;1
906;"2006-12-04";"2006-12-10";"Male";6;"Beijing";"Beijing";"CN";39.0;"2014-03-31";24;28091;11482.0;16410.0;35804;"2014-01-24";68;24.3913;106;0;0.82596;28091;0
915;"2006-11-10";"2007-01-26";"Male";5;"";"Beijing";"CN";39.0;"2014-03-31";49;84754;28693.0;30580.0;65717;"2014-03-01";32;14.25;65;1;1.42597;93153;8
916;"2006-11-18";"2007-06-01";"Male";6;"Fanyu";"Guangdong";"CN";46.0;"2014-03-31";29;192450;59672.0;56764.0;211369;"2014-03-21";11;25.67857;131;7;0.88887;226692;10
921;"2006-11-15";"2007-01-11";"Male";5;"Guangzhou";"Guangdong";"CN";33.0;"2014-03-31";66;66604;36460.0;32661.0;87096;"2014-03-27";5;10.89231;72;1;0.84246;97563;34
927;"2006-12-06";"2007-01-08";"Male";4;"Guangzhou";"Guangdong";"CN";40.0;"2014-03-31";33;22000;22642.0;7133.0;52732;"2014-01-15";77;20.4375;115;0;0.62748;22000;2
933;"2006-11-06";"2006-11-06";"Male";4;"Dongguan";"Guangdong";"CN";34.0;"2014-03-31";15;37376;10434.0;9236.0;43996;"2014-01-18";74;38.64286;163;0;0.77673;37376;0
945;"2006-11-30";"2006-11-30";"Female";4;"Beijing";"Beijing";"CN";57.0;"2014-03-31";24;32490;18191.0;13720.0;40691;"2014-03-21";11;30.3913;78;0;0.88517;35990;1
951;"2006-11-28";"2006-11-28";"Male";6;"";"Beijing";"CN";46.0;"2014-03-31";67;148491;71181.0;71769.0;123464;"2014-03-18";14;10.51515;51;0;1.26532;167126;5
955;"2006-12-05";"2007-03-24";"Male";4;"Klang";"Selangor";"MY";40.0;"2014-03-31";27;19485;7012.0;15668.0;46895;"2014-03-05";27;26.5;92;0;0.64677;19485;0
972;"2006-12-27";"2007-02-12";"Male";4;"Guangzhou";"Guangdong";"CN";47.0;"2014-03-31";45;29412;19632.0;17187.0;69476;"2014-03-21";11;16.15909;75;6;0.57175;44688;44
987;"2007-02-02";"2007-05-18";"Male";4;"Guangzhou";"Guangdong";"CN";39.0;"2014-03-31";15;26747;14251.0;9119.0;38487;"2014-03-31";1;44.71429;226;1;0.79149;27492;16
988;"2007-01-11";"2007-12-21";"Male";5;"Guangzhou";"Guangdong";"CN";42.0;"2014-03-31";34;24850;3223.0;26269.0;50069;"2014-03-18";14;21.27273;265;0;0.6552;28835;3
989;"2006-11-20";"2009-08-17";"Male";4;"Wulumuqi";"Xinjiang";"CN";38.0;"2014-03-31";27;41373;19176.0;17361.0;74301;"2014-03-14";18;24.26923;67;0;0.68321;43837;1
999;"2007-01-14";"2007-09-05";"Male";4;"Chino";"California";"US";38.0;"2014-03-31";13;77676;20184.0;16321.0;125853;"2014-02-20";41;37.08333;123;1;0.7267;77676;1
1011;"2007-02-20";"2007-03-03";"Male";5;"Beijing";"Beijing";"CN";43.0;"2014-03-31";36;38345;10247.0;29903.0;52294;"2014-03-17";15;20.0;103;0;0.85051;40903;1
1022;"2007-02-04";"2007-04-22";"Female";5;"Guangzhou";"Guangdong";"CN";45.0;"2014-03-31";56;56571;32771.0;27917.0;80865;"2014-03-20";12;13.01818;110;7;0.79487;59029;12
1035;"2007-02-21";"2007-04-19";"Male";6;"Guangzhou";"Guangdong";"CN";44.0;"2014-03-31";71;74666;32479.0;42783.0;107032;"2014-03-17";15;10.15714;44;5;0.78022;94798;39
1039;"2007-02-16";"2007-06-01";"Male";4;"Guangzhou";"Guangdong";"CN";35.0;"2014-03-31";49;49108;19196.0;32294.0;89006;"2014-03-29";3;14.70833;86;3;0.69098;50608;4
1040;"2007-03-08";"2007-04-06";"Male";5;"Guangzhou";"Guangdong";"CN";41.0;"2014-03-31";67;67647;30349.0;38212.0;107438;"2014-03-07";25;10.66667;55;3;0.71315;74699;9
1041;"2007-01-25";"2007-03-30";"Male";5;"Beijing";"Beijing";"CN";53.0;"2014-03-31";67;63024;16680.0;48760.0;107942;"2014-03-27";5;10.28788;77;0;0.66648;70960;0
1049;"2007-02-19";"2007-05-27";"Male";5;"Shamen";"Fujian";"CN";45.0;"2014-03-31";50;32116;12363.0;19369.0;50717;"2014-03-17";15;14.06122;68;0;0.69697;33556;0
1053;"2007-03-08";"2007-03-08";"Male";4;"Guangzhou";"Guangdong";"CN";42.0;"2014-03-31";26;32796;9982.0;20573.0;44256;"2014-03-13";19;27.24;137;1;0.79763;33437;7
1064;"2007-03-06";"2011-11-30";"Male";6;"Shenzhen";"Guangdong";"CN";43.0;"2014-03-31";20;54677;18390.0;27988.0;43133;"2014-03-16";16;30.68421;99;1;1.28258;61757;5
1069;"2007-02-10";"2007-05-11";"Male";5;"Guangzhou";"Guangdong";"CN";37.0;"2014-03-31";94;98556;60023.0;40236.0;126174;"2014-01-27";65;7.11828;43;0;0.83976;107518;4
1073;"2007-03-02";"2008-01-17";"Male";4;"Maoming";"Guangdong";"CN";57.0;"2014-03-31";39;32874;35664.0;2442.0;49840;"2014-01-20";72;17.28947;277;0;0.78802;33264;2
1079;"2007-03-08";"2007-09-10";"Male";5;"Shenzhen";"Guangdong";"CN";51.0;"2014-03-31";59;54592;17784.0;33391.0;70019;"2014-03-29";3;12.48276;53;4;0.81884;58478;8
1080;"2007-03-29";"2007-07-03";"Male";6;"Guangzhou";"Guangdong";"CN";62.0;"2014-03-31";29;50094;35245.0;12600.0;36412;"2013-05-23";314;13.82143;46;0;1.45282;52796;3
1101;"2007-04-01";"2007-05-30";"Male";4;"";"Beijing";"CN";56.0;"2014-03-31";37;76704;65247.0;18300.0;58302;"2013-10-21";163;15.19444;126;0;1.42816;92543;15
1109;"2007-04-20";"2007-10-25";"Male";4;"Guangzhou";"Guangdong";"CN";54.0;"2014-03-31";17;20871;16873.0;3966.0;47605;"2014-03-27";5;45.0625;253;0;0.58776;20871;0
1114;"2007-04-05";"2008-12-30";"Male";5;"Shanghai";"Shanghai";"CN";41.0;"2014-03-31";43;51288;5280.0;5615.0;60055;"2014-02-01";60;14.92857;81;6;0.9099;53742;10
